setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_paragraphs
topk_02_explain,explain,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,5 9,9 6,Dwarka,"[1] states that Iqbal F. Qadir was a Vice-Admiral in the Pakistan Navy at the time of the attack on the radar station in Dwarka, India. [2] provides information about radar station B-71, but does not mention its location or any connection to Dwarka, India.
Connecting the useful passages:
While [1] confirms Qadir's naval rank during the attack, [2] offers details about radar stations built during World War II, but does not specify their locations or involvement in the Indian conflict.
Answer: Dwarka",1,428,120,10
topk_02_explain,explain,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0 1,0 1,15 August 1843,"[1] states that Tivolis Koncertsal is located at Tivoli Gardens in Copenhagen, Denmark.
[2] provides information that Tivoli Gardens opened on 15 August 1843.
Answer: 15 August 1843",1,266,56,10
topk_02_explain,explain,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0 8,8 0,"The passages indicate that both Scout Tufankjian and Art Laboe are Armenian-Americans, which means they share the same ancestral country of Armenia.","[1] Scout Tufankjian is an Armenian-American photojournalist and author based in Brooklyn, New York.
[2] Art Laboe (born Arthur Egnoian on August 7, 1925) is an Armenian American disc jockey, songwriter, record producer, and radio station owner.
Armenian
The passages indicate that both Scout Tufankjian and Art Laboe are Armenian-Americans, which means they share the same ancestral country of Armenia.",0,246,98,10
topk_02_explain,explain,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,1 3,3 1,good,"[1] states that Wilmslow Show is held at Wilmslow High School. [2] provides information about Wilmslow High School, noting it is designated ""good"" by Ofsted. [1] helps answer the question.
Answer: good",1,290,52,10
topk_02_explain,explain,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0 5,0 5,Saoirse Ronan,"Sentence 1: [1] states that ""On Chesil Beach"" is an upcoming British drama film directed by Dominic Cooke.
Sentence 2: [1] mentions that the film stars Saoirse Ronan and Billy Howle.
Connection: From these two sentences, we can deduce that Billy Howle will be seen opposite Saoirse Ronan in the upcoming film.
Answer: Saoirse Ronan",1,375,81,10
topk_02_explain,explain,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,5 6,5 6,The Lorax,"[1] states that Kool Kojak has worked with various artists including Danny DeVito in the film ""The Lorax"".
[2] confirms that ""The Lorax"" is a 2012 animated film starring Danny DeVito.
Connecting these:
Since Kool Kojak has worked on ""The Lorax"" and this film stars Danny DeVito, we can infer that Kool Kojak's work on ""The Lorax"" likely included music production.
Answer: The Lorax",1,593,103,10
topk_02_explain,explain,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,1 8,5 1,Jean-Claude Van Damme,"[1] states that Jean-Claude Van Damme portrays Luc Deveraux in the ""Universal Soldier"" film series.
[2] mentions that the Universal Soldier franchise comprises six entries and that the films centered on Luc Deveraux until the sixth film, focusing on a new protagonist named John.
Answer: Jean-Claude Van Damme",1,373,70,10
topk_02_explain,explain,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,0 6,0 6,War & Peace,"[1] states that Tommy's Honour is a 2016 historical drama film about Old Tom Morris and his son Young Tom Morris.
[2] mentions Jack Lowden had success with the 2016 BBC miniseries ""War & Peace"".
Connecting these:
Jack Lowden, who starred in Tommy's Honour, gained recognition for his role in the 2016 BBC miniseries ""War & Peace"".
Answer: War & Peace",1,298,94,10
topk_02_explain,explain,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,5 8,5 8,Midnight Oil,"[1] Switchfoot is an American alternative rock band from San Diego, California.
[2] Midnight Oil (also known informally as ""The Oils"" to fans) are an Australian rock band, who originally performed as Farm from 1972 with drummer Rob Hirst, bass guitarist Andrew James and keyboard player/lead guitarist Jim Moginie. By late 1976, Garrett moved to Sydney to complete his law degree, and Farm changed its name to Midnight Oil by drawing the name out of a hat.
Answer: Midnight Oil",1,333,113,10
topk_02_explain,explain,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,1 2,1 2,1967,"[1] states that ""Tunak Tunak Tun"" is a bhangra/pop love song by Daler Mehndi released in 1998. [2] provides that Daler Mehndi was born on 18 August 1967. [1] connects to [2] by mentioning Daler Mehndi as the artist behind ""Tunak Tunak Tun"". Therefore,
Answer: 1967",1,394,94,10
topk_02_explain,explain,5ae4c01e55429913cc2044f3,hard,bridge,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,2 4,2 4,Captain John Underhill,"[1] states that Kieft's War involved a conflict between settlers of New Netherland and the Lenape population. [2] provides specific information about the Pound Ridge massacre, where Captain John Underhill led a night attack resulting in significant casualties.
Connecting these, we can deduce that Captain John Underhill launched the attack that led to more casualties than any other incident in Kieft's War.
Answer: Captain John Underhill",1,531,89,10
topk_02_explain,explain,5a89fea655429970aeb701eb,hard,bridge,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,4 5,5 4,The Outsiders,"[1] Nightmares (1983 film). Nightmares is a 1983 American horror anthology film directed by Joseph Sargent, and starring Emilio Estevez, among others.
Emilio Estevez starred in Nightmares in 1983.
Answer: The Outsiders",1,409,61,10
topk_02_explain,explain,5a80cf4c55429938b61421f6,hard,bridge,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,1 5,5 7,"Brooklyn, Queens, Staten Island and Long Island","[1] states that Eric S. Pistorius used to be an attorney at law for his law firm. [2] mentions Loretta Lynch's previous role as United States Attorney for the Eastern District of New York, where she oversaw federal prosecutions in Brooklyn, Queens, Staten Island, and Long Island. [2] also indicates that before becoming Attorney General, Lynch held the position of United States Attorney for the Eastern District of New York. Combining these, we can infer that Eric S. Pistorius' law firm likely focused on cases related to Brooklyn, Queens, Staten Island, and Long Island.
Answer: Brooklyn, Queens, Staten Island and Long Island",1,322,136,10
topk_02_explain,explain,5a89b1de5542992e4fca8378,hard,bridge,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,6 9,9 6,Keelung,"Sentence 1: [1] states that the Lingnan Fine Arts Museum is in Nangang District, Taipei, Taiwan.
Sentence 2: [2] provides information about Taipei, including its location relative to other cities.
Connection: From [2], we know Taipei is about 25 km southwest of the northern port city Keelung.
Answer: Keelung",1,354,76,10
topk_02_explain,explain,5a8778d25542994846c1cd89,hard,comparison,Has Stefan Edberg won more events than Édouard Roger-Vasselin?,yes,6 7,6 7,[2],"[1] states that Édouard Roger-Vasselin won the men's doubles title at Roland Garros in 2014.
[2] states that Stefan Edberg won six Grand Slam singles titles and three Grand Slam men's doubles titles between 1985 and 1996.
Answer: [2]",1,401,70,10
topk_02_explain,explain,5a77897f55429949eeb29edc,hard,bridge,"Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,6 8,6 8,organ,"[1] states that Jason Regler had the idea for the flashing wristbands while at a Coldplay concert, during the song ""Fix You"". [2] describes ""Fix You"" as a song by Coldplay built around an organ. Therefore, Jason Regler had the idea during a performance of ""Fix You"", which used an organ.
Answer: organ",1,379,73,10
topk_02_explain,explain,5ae0132d55429925eb1afc00,hard,bridge,The Soul of Buddha is a 1918 American silent romance film shot in a borough that is the western terminus of what?,the George Washington Bridge,3 9,3 9,George Washington Bridge,"[1] states that The Soul of Buddha was produced by Fox Film Corporation and shot at the Fox Studio in Fort Lee, New Jersey.
[2] provides information about Fort Lee, including that it is the western terminus of the George Washington Bridge.
Connecting these:
Since The Soul of Buddha was filmed in Fort Lee, and Fort Lee is the western terminus of the George Washington Bridge, we can conclude:
Answer: George Washington Bridge",1,389,88,10
topk_02_explain,explain,5a7129685542994082a3e5fa,hard,bridge,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",Vitor Belfort,0 2,2 0,Vitor Belfort,"Sentence 1: The Blackzilians is a defunct professional team of fighters in mixed martial arts, boxing, kickboxing, amateur wrestling and catch wrestling located in South Florida.
Sentence 2: Vitor Belfort is a Brazilian mixed martial artist currently competing in the Middleweight division of the Ultimate Fighting Championship.
Connecting: Since Vitor Belfort is a fighter from the Blackzilians team and is currently competing in the Middleweight division of the Ultimate Fighting Championship, we can conclude that Vitor Belfort is the current fighter from the Blackzilians team in the Middleweight division.
Answer: Vitor Belfort",1,302,128,10
topk_02_explain,explain,5ae762835542997b22f6a711,hard,bridge,"Were was the Mexican state after which there is Villa Unión, Sinaloa located?",tip of the Baja California,0 1,1 8,Sinaloa,"[1] Villa Unión, Sinaloa is located in the municipality of Mazatlán in Sinaloa state. This helps answer the question.
[2] Villa Unión, Coahuila is in the north-eastern Mexican state of Coahuila. Connecting these, we can deduce that the Mexican state after which there is Villa Unión, Sinaloa is Sinaloa.
Answer: Sinaloa",1,213,86,10
topk_02_explain,explain,5ae2f5b955429928c423957e,hard,bridge,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",The Tugurt language,5 8,5 8,Tugurt,"[1] states that Berber languages are part of the Afroasiatic family and were traditionally written with the ancient Libyco-Berber script.
[2] mentions Tugurt language, which is closely related to Tumzabt and Teggargrent languages.
Answer: Tugurt",1,412,62,10
topk_02_explain,explain,5a81018755429938b6142287,hard,bridge,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,Q,0 5,0 4,Charles Fraser-Smith,"[1] Charles Fraser-Smith is mentioned as an author and former missionary who inspired the fictional head of a British Secret Service division, James Bond's quartermaster Q.
[1] Charles Fraser-Smith worked for the Ministry of Supply during World War II, creating equipment for SOE agents, which was later associated with Q-devices.
Answer: Charles Fraser-Smith",1,335,72,10
topk_02_explain,explain,5ae7b271554299540e5a564d,hard,bridge,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,2002,4 8,6 9,Not provided,"[1] states that Lyra Belacqua is the heroine of Philip Pullman's ""His Dark Materials"" trilogy which takes place in a parallel universe.
[2] mentions ""Lyra's Oxford"" is a short book by Philip Pullman about Lyra Belacqua at age 15, two years after the trilogy.
[1] does not provide a specific year for the audio adaptation.
Answer: Not provided",1,312,86,10
