setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_paragraphs
smoke_topk_02_explain,explain,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,5 9,9 6,Dwarka,"[1] states that Iqbal F. Qadir was a Vice-Admiral in the Pakistan Navy at the time of the attack on the radar station in Dwarka, India. [2] provides information about radar station B-71, but does not mention its location or any connection to Dwarka, India.
Connecting the useful passages:
While [1] confirms Qadir's naval rank during the attack, [2] offers details about radar stations built during World War II, but does not specify their locations or involvement in the Indian conflict.
Answer: Dwarka",1,428,120,10
smoke_topk_02_explain,explain,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0 1,0 1,15 August 1843,"[1] states that Tivolis Koncertsal is located at Tivoli Gardens in Copenhagen, Denmark.
[2] provides information that Tivoli Gardens opened on 15 August 1843.
Answer: 15 August 1843",1,266,56,10
smoke_topk_02_explain,explain,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0 8,8 0,"The passages indicate that both Scout Tufankjian and Art Laboe are Armenian-Americans, which means they share the same ancestral country of Armenia.","[1] Scout Tufankjian is an Armenian-American photojournalist and author based in Brooklyn, New York.
[2] Art Laboe (born Arthur Egnoian on August 7, 1925) is an Armenian American disc jockey, songwriter, record producer, and radio station owner.
Armenian
The passages indicate that both Scout Tufankjian and Art Laboe are Armenian-Americans, which means they share the same ancestral country of Armenia.",0,246,98,10
smoke_topk_02_explain,explain,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,1 3,3 1,good,"[1] states that Wilmslow Show is held at Wilmslow High School. [2] provides information about Wilmslow High School, noting it is designated ""good"" by Ofsted. [1] helps answer the question.
Answer: good",1,290,52,10
smoke_topk_02_explain,explain,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0 5,0 5,Saoirse Ronan,"Sentence 1: [1] states that ""On Chesil Beach"" is an upcoming British drama film directed by Dominic Cooke.
Sentence 2: [1] mentions that the film stars Saoirse Ronan and Billy Howle.
Connection: From these two sentences, we can deduce that Billy Howle will be seen opposite Saoirse Ronan in the upcoming film.
Answer: Saoirse Ronan",1,375,81,10
smoke_topk_02_explain,explain,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,5 6,5 6,The Lorax,"[1] states that Kool Kojak has worked with various artists including Danny DeVito in the film ""The Lorax"".
[2] confirms that ""The Lorax"" is a 2012 animated film starring Danny DeVito.
Connecting these:
Since Kool Kojak has worked on ""The Lorax"" and this film stars Danny DeVito, we can infer that Kool Kojak's work on ""The Lorax"" likely included music production.
Answer: The Lorax",1,593,103,10
smoke_topk_02_explain,explain,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,1 8,5 1,Jean-Claude Van Damme,"[1] states that Jean-Claude Van Damme portrays Luc Deveraux in the ""Universal Soldier"" film series.
[2] mentions that the Universal Soldier franchise comprises six entries and that the films centered on Luc Deveraux until the sixth film, focusing on a new protagonist named John.
Answer: Jean-Claude Van Damme",1,373,70,10
smoke_topk_02_explain,explain,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,0 6,0 6,War & Peace,"[1] states that Tommy's Honour is a 2016 historical drama film about Old Tom Morris and his son Young Tom Morris.
[2] mentions Jack Lowden had success with the 2016 BBC miniseries ""War & Peace"".
Connecting these:
Jack Lowden, who starred in Tommy's Honour, gained recognition for his role in the 2016 BBC miniseries ""War & Peace"".
Answer: War & Peace",1,298,94,10
smoke_topk_02_explain,explain,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,5 8,5 8,Midnight Oil,"[1] Switchfoot is an American alternative rock band from San Diego, California.
[2] Midnight Oil (also known informally as ""The Oils"" to fans) are an Australian rock band, who originally performed as Farm from 1972 with drummer Rob Hirst, bass guitarist Andrew James and keyboard player/lead guitarist Jim Moginie. By late 1976, Garrett moved to Sydney to complete his law degree, and Farm changed its name to Midnight Oil by drawing the name out of a hat.
Answer: Midnight Oil",1,333,113,10
smoke_topk_02_explain,explain,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,1 2,1 2,1967,"[1] states that ""Tunak Tunak Tun"" is a bhangra/pop love song by Daler Mehndi released in 1998. [2] provides that Daler Mehndi was born on 18 August 1967. [1] connects to [2] by mentioning Daler Mehndi as the artist behind ""Tunak Tunak Tun"". Therefore,
Answer: 1967",1,394,94,10
