qid,qtype,gold_depth
5a7a567255429941d65f25bd,bridge,8
5abca1a55542993a06baf937,bridge,2
5a73977d554299623ed4ac08,comparison,2
5ab514c05542991779162d72,bridge,2
5add2b435542990d50227e11,bridge,2
5a88d6df554299206df2b377,bridge,2
5ae6b6065542991bbc976168,bridge,3
5ae531ee5542990ba0bbb1ff,bridge,2
5a8aa5835542996c9b8d5f4e,comparison,2
5ab82d095542990e739ec853,bridge,2
5ae4c01e55429913cc2044f3,bridge,2
5a89fea655429970aeb701eb,bridge,2
5a80cf4c55429938b61421f6,bridge,9
5a89b1de5542992e4fca8378,bridge,2
5a8778d25542994846c1cd89,comparison,2
5a77897f55429949eeb29edc,bridge,2
5ae0132d55429925eb1afc00,bridge,2
5a7129685542994082a3e5fa,bridge,2
5ae762835542997b22f6a711,bridge,6
5ae2f5b955429928c423957e,bridge,2
5a81018755429938b6142287,bridge,6
5ae7b271554299540e5a564d,bridge,7
5a89a74e554299669944a562,bridge,2
5adcceda5542990d50227d31,comparison,2
5a7518cb55429916b0164259,bridge,2
5ab9180b5542991b5579f0f3,bridge,2
5abb326055429966062416e7,bridge,2
5a8ef1e35542995a26add57a,bridge,3
5adf03b35542993a75d263d3,bridge,5
5a88d745554299206df2b378,comparison,2
5ab3bacc55429969a97a8197,bridge,8
5a7f244255429934daa2fcec,bridge,3
5ac39f7b554299218029dbe7,bridge,2
5a810d7655429903bc27b915,bridge,9
5ae4cb2f55429960a22e01e8,bridge,4
5adf1c3f5542993a75d263ec,bridge,6
5ab61140554299110f2199d7,bridge,3
5a738fe855429908901be2fb,bridge,4
5adcc3ed5542994d58a2f6c4,bridge,9
5ae5ffbb5542996de7b71ad4,bridge,2
5ae357745542992f92d8229b,bridge,2
5ae200655542994d89d5b2f4,bridge,7
5adf430e5542993a75d2645e,comparison,2
5adc99cf554299438c868e0d,bridge,7
5ab262a4554299340b5254ac,bridge,2
5a770d785542993569682cad,bridge,3
5a7f275d55429934daa2fd01,comparison,2
5ae54b6355429908b63265cc,comparison,2
5ac4c16b5542997ea680cab4,comparison,2
5ab3c18b55429969a97a81b0,bridge,3
5a84b0705542991dd0999d86,bridge,2
