policy,keep_ratio,qid,prediction,em,decode_tokens,gold,distractor,question,system,prompt_all
recency,0.5,5a7a567255429941d65f25bd,D,0.0,1,0.0,0.6180257510729616,1.0,0.0,0.4985119047619048
recency,0.5,5abca1a55542993a06baf937,1845,0.0,4,0.11267605633802817,1.0,1.0,0.0,0.4897959183673468
recency,0.5,5a73977d554299623ed4ac08,Arab,0.0,2,0.0,0.8292682926829267,1.0,0.0,0.4957805907172996
recency,0.5,5ab514c05542991779162d72,Wilmslow School,0.0,4,0.0,0.6464088397790057,1.0,0.0,0.49598393574297206
recency,0.5,5add2b435542990d50227e11,Saoirse,0.0,3,0.16532258064516125,1.0,1.0,0.0,0.49460431654676257
recency,0.5,5a88d6df554299206df2b377,"The Animated Movie, starring Danny Devito, featured music written and produced by Kool Koj, including ""Best Friend's Brother"" (2011",0.0,32,0.15948275862068964,1.0,1.0,0.0,0.4642032332563511
recency,0.5,5ae6b6065542991bbc976168,Scott Jordan (character),0.0,5,0.0,0.7318339100346021,1.0,0.0,0.49534643226473624
recency,0.5,5ae531ee5542990ba0bbb1ff,Jack,0.0,1,0.0,0.6537890044576524,1.0,0.0,0.49947534102833174
recency,0.5,5a8aa5835542996c9b8d5f4e,Midnight Oil,1.0,3,0.0,0.898360655737705,1.0,0.0,0.4951612903225807
recency,0.5,5ab82d095542990e739ec853,1999,0.0,4,0.0,0.7060439560439561,1.0,0.0,0.4968325791855206
recency,0.5,5ae4c01e55429913cc2044f3,Captain Rumachenan,0.0,4,0.12987012987012989,1.0,1.0,0.0,0.49506172839506174
recency,0.5,5a89fea655429970aeb701eb,The Green Door,0.0,3,0.049295774647887314,1.0,1.0,0.0,0.4956011730205279
recency,0.5,5a80cf4c55429938b61421f6,Jerks,0.0,2,0.0,0.5923460898502495,1.0,0.0,0.49807938540332913
recency,0.5,5a89b1de5542992e4fca8378,Keļ,0.0,2,0.0,0.9195046439628481,1.0,0.0,0.4977238239757209
recency,0.5,5a8778d25542994846c1cd89,No,0.0,1,0.10144927536231885,1.0,1.0,0.0,0.4992223950233281
recency,0.5,5a77897f55429949eeb29edc,Organ,1.0,1,0.0,0.7801556420233462,1.0,0.0,0.49942857142857133
recency,0.5,5ae0132d55429925eb1afc00,Fort Broadway Love A 1918 American silent romance film shot in a borough that is the western terminus of? The western terminus of?,0.0,31,0.02371541501976284,1.0,1.0,0.0,0.44750430292598975
recency,0.5,5a7129685542994082a3e5fa,Samuel Evans answer: RashKelum 14 January 2017 Kelvin Gastelum. RashKelum. RashKelum. RashKel,0.0,32,0.0,0.8145161290322583,1.0,0.0,0.44172932330827075
recency,0.5,5ae762835542997b22f6a711,Estado,0.0,1,0.0,0.7130044843049326,1.0,0.0,0.4973821989528797
recency,0.5,5ae2f5b955429928c423957e,Tumz,0.0,3,0.0,0.7022696929238985,1.0,0.0,0.4978127734033246
recency,0.5,5a81018755429938b6142287,Q,1.0,1,0.0,0.6829787234042553,1.0,0.0,0.4993006993006995
recency,0.5,5ae7b271554299540e5a564d,1995,0.0,4,0.6039603960396039,0.5123966942148759,1.0,0.0,0.49397590361445787
recency,0.5,5a89a74e554299669944a562,Steve Bend,0.0,2,0.0,0.8060109289617485,1.0,0.0,0.4978229317851961
recency,0.5,5adcceda5542990d50227d31,Britain,0.0,1,0.0,0.7988505747126439,1.0,0.0,0.49839228295819943
recency,0.5,5a7518cb55429916b0164259,Ramon,0.0,2,0.10410958904109587,1.0,1.0,0.0,0.49812265331664585
recency,0.5,5ab9180b5542991b5579f0f3,South Korea,1.0,2,0.0,0.865979381443299,1.0,0.0,0.4965753424657534
recency,0.5,5abb326055429966062416e7,Birmingham,0.0,2,0.0,0.8237704918032789,1.0,0.0,0.4967741935483871
recency,0.5,5a8ef1e35542995a26add57a,196,0.0,3,0.22155688622754494,0.824022346368715,1.0,0.0,0.4968553459119497
recency,0.5,5adf03b35542993a75d263d3,Paris Charles de Gaulle Airport,0.0,6,0.84375,0.39860139860139854,1.0,0.0,0.4938956714761377
recency,0.5,5a88d745554299206df2b378,director,1.0,1,0.0,0.7211796246648796,1.0,0.0,0.4983108108108108
recency,0.5,5ab3bacc55429969a97a8197,L Gallagher,0.0,2,1.0,0.3996683250414593,1.0,0.0,0.49769585253456217
recency,0.5,5a7f244255429934daa2fcec,Grammar,0.0,1,0.09170305676855897,0.7420042643923241,1.0,0.0,0.49876543209876534
recency,0.5,5ac39f7b554299218029dbe7,E. Marland,0.0,4,0.0,0.7958115183246074,1.0,0.0,0.4947839046199703
recency,0.5,5a810d7655429903bc27b915,guitar,0.0,2,0.0,0.633393829401089,1.0,0.0,0.49803407601572736
recency,0.5,5ae4cb2f55429960a22e01e8,Linda Maria Ronstadt,1.0,5,0.7208121827411168,0.4451901565995526,1.0,0.0,0.4933333333333333
recency,0.5,5adf1c3f5542993a75d263ec,Celtic,0.0,3,0.0,0.6353276353276353,1.0,0.0,0.4950495049504949
recency,0.5,5ab61140554299110f2199d7,"Thomas Montgomery Newman (born October 20, 1955) is an American composer best known for his many film scores. Thomas Montgomery Newman (",0.0,32,0.49206349206349187,0.4820717131474103,1.0,0.0,0.4546805349182763
recency,0.5,5a738fe855429908901be2fb,Awake,1.0,2,0.3699421965317919,0.6808510638297873,1.0,0.0,0.4970873786407768
recency,0.5,5adcc3ed5542994d58a2f6c4,Rich LeFev,0.0,4,0.0,0.6339522546419096,1.0,0.0,0.4966183574879226
recency,0.5,5ae5ffbb5542996de7b71ad4,Argentine,0.0,2,0.0026881720430107525,1.0,1.0,0.0,0.49774266365688496
recency,0.5,5ae357745542992f92d8229b,Bu,0.0,1,0.0,0.7793696275071631,1.0,0.0,0.4992125984251967
recency,0.5,5ae200655542994d89d5b2f4,To,0.0,1,0.0,0.5551724137931032,1.0,0.0,0.49963476990504013
recency,0.5,5adf430e5542993a75d2645e,Dunna Canal,0.0,4,0.0,0.7432150313152402,1.0,0.0,0.4948979591836735
