setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_corpus,corpus_sha
smoke_r2_topk_02,short,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,18193 28280,28280 4347,Pakistan Navy,,1,421,2,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,60715 60718,60718 60715,15 August 1843,,1,239,8,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,6648 52068,52068 6648,Armenian,,1,219,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,65296 65297,65297 65296,Wilmslow High School,,1,263,5,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,9201 44183,44183 9201,Saoirse Ronan,,1,348,5,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,33085 58755,58694 15840,None,,1,393,1,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,51999 62569,36818 62569,Jean-Claude Van Damme,,1,346,7,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,28759 60990,60990 60965,Jack Lowden,,1,311,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,39921 56166,56166 39921,Midnight Oil,,1,306,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,15523 61747,61747 15523,1967,,1,367,4,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5ae4c01e55429913cc2044f3,hard,bridge,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,32668 47179,32668 8118,Alexander McKillop,,1,558,4,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a89fea655429970aeb701eb,hard,bridge,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,19306 42935,42935 19306,The Outsiders,,1,382,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a80cf4c55429938b61421f6,hard,bridge,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,13578 19658,19658 24717,personal injury,,1,237,2,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a89b1de5542992e4fca8378,hard,bridge,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,34959 56444,34959 34689,Taiwan,,1,260,2,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a8778d25542994846c1cd89,hard,comparison,Has Stefan Edberg won more events than Édouard Roger-Vasselin?,yes,55068 66512,66512 55068,No,,1,374,1,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_02,short,5a77897f55429949eeb29edc,hard,bridge,"Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,21178 65849,65849 27291,cello,,1,445,2,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,18193 28280,28280 4347 3611 62186 21598 48089 62550 51579 66286 48188 25341 40258 3612 18283 23102 47885 41196 43133 17299 39690,Paris,,1,3303,1,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,60715 60718,60718 60715 45273 11545 60716 60717 19564 34560 24584 17286 52834 17285 65553 63985 61695 14746 40937 13281 46986 10099,1954,,1,3021,4,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,6648 52068,52068 6648 28414 19236 31723 39168 13105 50723 50735 38516 65850 4509 26819 48855 31204 5736 23028 7011 61736 52921,USA,,1,2631,1,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,65296 65297,65297 65296 62625 15962 62662 42651 13639 42652 44772 14127 13932 17915 27548 62624 12662 32843 47209 47968 47286 27560,Wilmslow High School,,1,2915,5,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,9201 44183,44183 9201 17483 60205 41122 8610 38843 3808 32387 58542 44126 61934 9191 38594 17478 40808 22730 11016 50324 60257,Saoirse Ronan,,1,3367,5,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,33085 58755,58694 15840 58695 61233 56683 33029 61232 53087 59238 58707 33085 58696 56610 13541 65712 15842 53084 58669 31520 16856,Kokak,,1,3785,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,51999 62569,36818 62569 51999 60879 29038 3803 62568 17404 38797 55728 60765 60296 19626 13357 27588 8731 38762 15696 6820 26954,Scott Adkins,,1,3494,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,28759 60990,60990 60965 34673 60984 60862 13907 32387 60885 8610 60879 50828 34671 55139 28759 22812 60843 60887 49282 60883 51441,Jack Lowden,,1,2981,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,39921 56166,56166 39921 48661 59208 49688 67 39922 48807 9486 39930 58894 39910 28850 5126 56538 4047 39918 46063 25468 60182,Midnight Oil,,1,3138,3,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,15523 61747,61747 15523 26613 6785 34277 66042 9249 25161 24682 31882 3557 13105 52654 52750 32626 37393 10643 48131 8965 49524,1967,,1,2701,4,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
smoke_r2_topk_20,short,5ae4c01e55429913cc2044f3,hard,bridge,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,32668 47179,32668 8118 8167 53175 12871 53180 28358 8233 47179 42605 64225 50761 8215 8104 8126 60253 64101 52952 64571 62161,Captain John Underhill,,1,3117,4,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
