setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_paragraphs
smoke_short,short,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,5 9,9 6 4 3 8,[1],,1,674,3,10
smoke_short,short,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0 1,0 1 9 8 4,15 August 1843,,1,399,5,10
smoke_short,short,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0 8,8 0 5 7 2,[2] Armenian,,1,487,4,10
smoke_short,short,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,1 3,3 1 6 0 2,A Centre of Excellence,,1,989,4,10
smoke_short,short,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0 5,0 5 4 9 7,Saoirse Ronan,,1,570,5,10
smoke_short,short,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,5 6,5 6 1 0 3,[2],,1,868,3,10
smoke_short,short,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,1 8,5 1 8 3 0,Scott Adkins,,1,941,3,10
smoke_short,short,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,0 6,0 6 3 2 8,"""War & Peace""",,1,906,5,10
smoke_short,short,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,5 8,5 8 7 4 2,Midnight Oil,,1,622,3,10
smoke_short,short,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,1 2,1 2 5 9 3,1967,,1,1093,2,10
smoke_short,short,5ae4c01e55429913cc2044f3,hard,bridge,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,Captain John Underhill,2 4,2 4 9 8 1,Captain John Underhill,,1,804,4,10
smoke_short,short,5a89fea655429970aeb701eb,hard,bridge,In which film did Emilio Estevez star in in the same year as Nightmares,The Outsiders,4 5,5 4 0 2 8,[2],,1,682,3,10
smoke_short,short,5a80cf4c55429938b61421f6,hard,bridge,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,to ensure wide visibility and understanding of cases in a region,1 5,5 7 2 0 8,"[4] In this case, the attorney in question could only deduct traveling expenses from her gross income when the railroad's business forced attorney to travel and live temporarily",,1,765,32,10
smoke_short,short,5a89b1de5542992e4fca8378,hard,bridge,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,Keelung,6 9,9 6 5 2 7,Keelung,,1,666,3,10
smoke_short,short,5a8778d25542994846c1cd89,hard,comparison,Has Stefan Edberg won more events than Édouard Roger-Vasselin?,yes,6 7,6 7 2 0 9,[2],,1,619,3,10
smoke_short,short,5a77897f55429949eeb29edc,hard,bridge,"Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",an organ,6 8,6 8 1 7 3,an organ,,1,879,2,10
smoke_explain,explain,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,5 9,9 6 4 3 8,"This passage does not mention the location of the radar station, but it does mention that it was located in Sevastopol, which is on the Crimean Peninsula","[1] He is a retired three-star rank admiral in the Pakistan Navy, former diplomat, and a defence analyst.
This passage helps answer the question by stating Iqbal F. Qadir's profession, but it does not specify the location of the radar station he participated in.

[2] The B-71 radar station was an Army Air Force early warning station in World War II.
This passage does not mention the location of the radar station, but it does mention that it was located on the western coast of America.

[3] Mukachevo radar station was a Soviet radar station providing early warning of ballistic missile attack.
This passage does not mention the location of the radar station, but it does mention that it was located in Ukraine.

[4] No. 227 Radar Station RAAF was a Royal Australian Air Force radar station located at Yanchep, Western Australia.
This passage does not mention the location of the radar station, but it does mention that it was located in Western Australia.

[5] Sevastopol radar station was a Soviet radar station providing early warning of ballistic missile attack.
This passage does not mention the location of the radar station, but it does mention that it was located in Sevastopol, which is on the Crimean Peninsula",0,701,256,10
smoke_explain,explain,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,0 1,0 1 9 8 4,1843,"[2] This passage states that Tivoli Gardens (or simply Tivoli) is a famous amusement park and pleasure garden in Copenhagen, Denmark, and that the park opened on 15 August 1843.

[2] This passage also states that Tivoli Gardens (or simply Tivoli) is the second-oldest operating amusement park in the world, after Dyrehavsbakken in nearby Klampenborg, also in Denmark.

This chain of reasoning connects the two useful passages, establishing that Tivoli Gardens is the park where Tivolis Koncertsal is located and that it opened in 1843.

Answer: 1843",1,426,136,10
smoke_explain,explain,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,0 8,8 0 5 7 2,Armenia,"[1] Scout Tufankjian is an Armenian-American photojournalist and author based in Brooklyn, New York. She is well known for her photos of American President Barack Obama during his campaign leading up to his presidency. She is also known for her photojournalism work on the Armenian diaspora.
[2] Art Laboe (born Arthur Egnoian on August 7, 1925) is an Armenian American disc jockey, songwriter, record producer, and radio station owner, generally credited with coining the term ""Oldies But Goodies"".

This passage states that both Scout Tufankjian and Art Laboe are of Armenian ancestry.

Answer: Armenia",1,514,136,10
smoke_explain,explain,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,1 3,3 1 6 0 2,Centre of Excellence,"[2] Wilmslow High School. Wilmslow High School is a mixed-sex 11–18 comprehensive secondary school in Wilmslow, Cheshire, and a designated Centre of Excellence. The school began in 1960 as a grammar school and gradually became a comprehensive school, becoming Wilmslow High School in 1991. Dr. James Pullé is the head teacher. The school is designated ""good"" by Ofsted.

[2] This passage states that Wilmslow High School is designated as a Centre of Excellence and ""good"" by Ofsted.

[2] This information helps answer the question as it states the school's designation.

Answer: Centre of Excellence",1,1016,139,10
smoke_explain,explain,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,0 5,0 5 4 9 7,Saoirse Ronan,"[1] Ian McEwan self-adapted his own 2007 Booker Prize-nominated novella of the same name. 
This passage helps answer the question as it mentions the film adaptation, which involves Billy Howle.

[2] He also appeared in ""Dunkirk"". 
This passage helps answer the question as it mentions another film that Billy Howle has appeared in, which is directed by a different director.

[2] Howle will next be seen opposite Saoirse Ronan in the drama, ""On Chesil Beach"", in the adaptation of Anton Chekhov's iconic play, ""The Seagull"", and in Netflix film ""Outlaw King"".
This passage directly answers the question, stating that Billy Howle will be seen opposite Saoirse Ronan in the upcoming British drama film directed by Dominic Cooke.

Answer: Saoirse Ronan",1,597,175,10
