setting,mode,qid,level,qtype,question,gold_answer,gold_ids,retrieved_ids,prediction,raw_generation,parsed_ok,prompt_tokens,decode_tokens,n_corpus,corpus_sha
regime2_a1_baseline_explain,explain,5a7a567255429941d65f25bd,hard,bridge,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,flotilla,18193 28280,28280 4347 3611 62186 21598,Pakistan Navy,"Sentence 1: Iqbal F. Qadir is a retired three-star rank admiral in the Pakistan Navy, former diplomat, and a defence analyst.
Sentence 2: He is renown for his participation in second war with India when he was part of the flotilla that attacked the radar station in Dwarka, India.
Connecting: Iqbal F. Qadir was serving as part of the Pakistan Navy when he participated in the attack on the radar station in Dwarka, India.
Answer: Pakistan Navy",1,1042,106,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5abca1a55542993a06baf937,hard,bridge,When did the park at which Tivolis Koncertsal is located open?,15 August 1843,60715 60718,60718 60715 45273 11545 60716,15 August 1843,"Sentence 1: [1] Tivolis Koncertsal is a 1,660-capacity concert hall located at Tivoli Gardens in Copenhagen, Denmark.
Sentence 2: [2] Tivoli Gardens (or simply Tivoli) is a famous amusement park and pleasure garden in Copenhagen, Denmark. The park opened on 15 August 1843 and is the second-oldest operating amusement park in the world.
Sentence 1 connects to Sentence 2 through the location of Tivolis Koncertsal being at Tivoli Gardens.
Answer: 15 August 1843",1,731,130,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a73977d554299623ed4ac08,hard,comparison,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,6648 52068,52068 6648 28414 19236 31723,Armenia,"Sentence 1: Art Laboe was born Arthur Egnoian on August 7, 1925, and is an Armenian-American disc jockey.
Sentence 2: Scout Tufankjian is an Armenian-American photojournalist and author.
Chain of reasoning: Art Laboe is identified as Armenian-American, while Scout Tufankjian is explicitly stated to be Armenian-American.
Answer: Armenia",1,554,82,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ab514c05542991779162d72,hard,bridge,The school in which the Wilmslow Show is held is designated as what?,Centre of Excellence,65296 65297,65297 65296 62625 15962 62662,"""good""","[1] states that Wilmslow Show is held at Wilmslow High School. [2] provides information about Wilmslow High School being a mixed-sex 11–18 comprehensive secondary school designated ""good"" by Ofsted.
Connecting the useful passages:
Since Wilmslow High School hosts the Wilmslow Show, and [2] indicates it is a ""good"" school according to Ofsted, we can conclude that the school in which the Wilmslow Show is held is designated as ""good"".
Answer: ""good""",1,660,111,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5add2b435542990d50227e11,hard,bridge,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,Saoirse Ronan,9201 44183,44183 9201 17483 60205 41122,Saoirse Ronan,"Sentence 1: Sentence 2 contains information about Billy Howle being cast in the upcoming British drama film directed by Dominic Cooke.
Sentence 2: Sentence 2 states that Billy Howle will be seen opposite Saoirse Ronan in the drama ""On Chesil Beach"".
Answer: Saoirse Ronan",1,739,61,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a88d6df554299206df2b377,hard,bridge,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",The Lorax,33085 58755,58694 15840 58695 61233 56683,None,"[2] states that Danny DeVito starred in the TV show ""Taxi"" but does not mention any animated movies he starred in.
[3] mentions a 2019 animated remake of ""The Lion King"" starring Danny DeVito, but does not provide information about music.
[4] is about the animated film ""Toy Story 3"" which does not involve Danny DeVito.
None of these passages directly answer the question about an animated movie starring Danny DeVito featuring music by Kool Kojak.
Answer: None",1,994,109,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae6b6065542991bbc976168,hard,bridge,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",Scott Adkins,51999 62569,36818 62569 51999 60879 29038,Scott Adkins,"[3] states that Scott Adkins has starred in ""Holby City"", ""Doctors"", ""Doctor Strange"", ""The Bourne Ultimatum"", and ""Zero Dark Thirty"".
Connecting the useful passages:
Scott Adkins, who played Luc Deveraux in some of the Universal Soldier films, is mentioned in [3] alongside acting roles in other films.
Answer: Scott Adkins",1,979,78,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ae531ee5542990ba0bbb1ff,hard,bridge,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,War & Peace,28759 60990,60990 60965 34673 60984 60862,Wolf Hall,"Sentence 1: Tommy's Honour is a 2016 historical drama film about Old Tom Morris and his son Young Tom Morris.
Sentence 2: Peter Mullan and Jack Lowden portray the father and son in the film.
Connecting: Tommy's Honour stars Peter Mullan, who also appeared in the 2016 BBC miniseries ""Wolf Hall"".
Answer: Wolf Hall",1,695,80,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5a8aa5835542996c9b8d5f4e,hard,comparison,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",Midnight Oil,39921 56166,56166 39921 48661 59208 49688,Midnight Oil,"[2] Midnight Oil (also known informally as ""The Oils"" to fans) are an Australian rock band, who originally performed as Farm from 1972 with drummer Rob Hirst, bass guitarist Andrew James and keyboard player/lead guitarist Jim Moginie. While vocalist Peter Garrett was studying at Australian National University in Canberra, he answered an advertisement for a spot in Farm, and by 1975 the band was touring the east coast of Australia. By late 1976, Garrett moved to Sydney to complete his law degree, and Farm changed its name to Midnight Oil by drawing the name out of a hat.
Answer: Midnight Oil",1,647,136,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
regime2_a1_baseline_explain,explain,5ab82d095542990e739ec853,hard,bridge,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",1967,15523 61747,61747 15523 26613 6785 34277,1967,"Sentence 1: [1] states ""Tunak Tunak Tun"" is a bhangra/pop love song by Indian artist Daler Mehndi released in 1998.
Sentence 2: [2] provides Daler Mehndi's birth date as 18 August 1967.
Connecting: From [1], we know ""Tunak Tunak Tun"" is by Daler Mehndi. From [2], we find out Daler Mehndi was born in 1967.
Answer: 1967",1,652,119,66581,1c8d4442c84f145afbda9a01c1c56b0b7d580ba67204747b8c457f0439c58c8c
